,Unnamed: 0,Mã,Năm,P/E,P/B,EPS,BVPS,ROE (%),ROA (%),Nợ / Vốn chủ sở hữu (DE),Biên lợi nhuận gộp,Biên lợi nhuận ròng,Thanh khoản hiện hành,Thanh khoản nhanh
0,0,AAA,2020,9.33,0.61,1310.0,20101.0,6.52,3.06,1.13,0.1,0.04,1.19,0.94
1,1,AAA,2021,23.86,1.27,813.0,15278.0,5.32,2.9,0.84,0.1,0.03,1.63,1.33
2,2,AAA,2022,15.15,0.37,433.0,17511.0,2.47,1.41,0.75,0.07,0.01,1.76,1.21
3,3,AAA,2023,11.99,0.58,757.0,15599.0,4.85,2.5,0.94,0.09,0.03,1.52,1.31
4,4,AAA,2024,,,0.0,inf,5.8,2.63,1.2,0.12,0.03,1.6,1.26
5,5,AAM,2020,-9.2,0.57,-1145.0,18571.0,-6.17,-5.68,0.09,0.0,-0.11,11.05,3.35
6,6,AAM,2021,538.59,0.63,22.0,18958.0,0.12,0.11,0.03,0.06,-0.01,29.41,14.11
7,7,AAM,2022,7.4,0.6,1455.0,18040.0,8.07,7.73,0.04,0.13,0.06,22.79,9.96
8,8,AAM,2023,233.25,0.81,40.0,11527.0,0.35,0.33,0.05,0.01,-0.03,18.99,5.08
9,9,AAM,2024,-12.09,0.39,-604.0,18785.0,-3.22,-3.12,0.03,0.03,-0.02,33.58,15.53
10,10,AAT,2024,-56.13,0.04,-62.0,88301.0,-0.07,-0.04,0.81,0.09,0.0,2.39,2.31
11,11,AAT,2022,3.2,0.39,1395.0,11462.0,12.17,8.45,0.44,0.16,0.12,2.09,2.02
12,12,AAT,2023,-140.0,0.49,-35.0,10041.0,-0.35,-0.24,0.43,0.08,0.01,2.05,1.93
13,13,AAT,2020,,,403.0,12198.0,3.3,2.42,0.36,0.13,0.05,1.87,1.69
14,14,AAT,2021,19.56,0.84,802.0,18614.0,4.31,2.95,0.46,0.12,0.07,2.97,2.81
15,15,AAV,2020,30.08,1.04,419.0,12168.0,3.44,2.22,0.55,0.1,0.06,2.18,2.06
16,16,AAV,2021,32.76,1.02,696.0,22390.0,3.11,2.53,0.23,0.1,0.08,4.96,4.86
17,17,AAV,2022,195.45,0.36,22.0,11804.0,0.19,0.14,0.33,0.08,0.01,3.42,3.37
18,18,AAV,2023,-16.27,0.35,-252.0,11604.0,-2.17,-1.84,0.18,0.04,-0.24,7.65,7.58
19,19,AAV,2024,-42.2,0.66,-173.0,11125.0,-1.56,-1.28,0.22,-0.0,-0.35,4.48,4.46
20,20,ABR,2020,,,1236.0,11818.0,10.46,8.76,0.19,0.54,0.3,4.62,4.58
21,21,ABR,2021,,,966.0,12785.0,7.56,6.18,0.22,0.49,0.25,4.48,4.48
22,22,ABR,2022,4.1,0.42,1470.0,14262.0,10.31,7.9,0.31,0.51,0.37,2.38,2.37
23,23,ABR,2023,6.14,0.6,1549.0,15806.0,9.8,8.07,0.21,0.62,0.55,3.44,3.44
24,24,ABR,2024,11.36,0.69,898.0,14706.0,6.11,5.07,0.2,0.8,0.99,2.38,2.38
25,25,ABS,2024,143.75,0.4,32.0,11459.0,0.28,0.26,0.09,0.02,0.03,11.17,11.15
26,26,ABS,2023,59.08,0.54,98.0,10808.0,0.91,0.52,0.73,0.04,0.02,1.69,1.68
27,27,ABS,2020,14.73,1.62,1280.0,11630.0,11.01,4.09,1.69,0.08,0.05,1.18,1.17
28,28,ABS,2021,33.05,2.33,788.0,11170.0,7.05,4.1,0.72,0.05,0.07,1.92,1.89
29,29,ABS,2022,19.48,0.48,268.0,10769.0,2.49,1.35,0.84,0.05,0.02,1.78,1.77
30,30,ABT,2020,,,1243.0,36856.0,3.37,2.55,0.32,0.12,0.05,2.01,0.8
31,31,ABT,2021,10.09,0.81,2726.0,33767.0,8.07,5.69,0.42,0.19,0.1,1.72,0.69
32,32,ABT,2022,5.12,0.7,5513.0,40380.0,13.65,10.33,0.32,0.19,0.11,2.03,1.3
33,33,ABT,2023,6.35,0.83,4900.0,37654.0,13.01,9.81,0.33,0.16,0.13,2.14,1.56
34,34,ABT,2024,5.34,0.8,6942.0,46095.0,15.06,10.64,0.42,0.19,0.16,1.97,1.48
35,35,ACB,2023,4.1,0.93,4092.0,18096.0,22.61,2.23,9.13,,,,
36,36,ACB,2022,3.2,0.75,4008.0,17111.0,23.42,2.25,9.4,,,,
37,37,ACB,2024,5.88,1.18,3669.0,18239.0,20.12,1.94,9.35,,,,
38,38,ACB,2020,3.0,0.65,3511.0,16200.0,21.67,1.73,11.54,,,,
39,39,ACB,2021,4.63,0.99,3498.0,16356.0,21.39,1.82,10.75,,,,
40,40,ACC,2020,1.23,0.14,5179.0,44244.0,11.71,6.5,0.8,0.27,0.16,2.13,1.16
41,41,ACC,2021,19.93,1.58,764.0,9652.0,7.92,3.2,1.47,0.21,0.12,1.81,0.61
42,42,ACC,2022,13.02,0.88,860.0,12703.0,6.77,3.92,0.73,0.16,0.15,2.17,1.12
43,43,ACC,2023,18.66,1.01,662.0,12240.0,5.41,2.95,0.83,0.19,0.11,1.98,0.84
44,44,ACC,2024,29.08,1.15,502.0,12739.0,3.94,1.76,1.24,0.16,0.09,1.18,0.5
45,45,ACG,2020,,,5633.0,40265.0,13.99,11.05,0.27,0.27,0.15,3.86,2.64
46,46,ACG,2021,,,4513.0,37770.0,11.95,9.06,0.32,0.27,0.16,3.05,1.9
47,47,ACG,2022,6.48,1.02,4577.0,29088.0,15.73,11.26,0.4,0.3,0.17,2.49,1.54
48,48,ACG,2023,12.29,1.29,2896.0,27676.0,10.46,7.91,0.32,0.29,0.14,3.1,2.25
49,49,ACG,2024,14.72,1.48,2786.0,27694.0,10.06,7.45,0.35,0.31,0.14,2.84,2.17
50,50,ACL,2024,56.67,0.74,210.0,16137.0,1.3,0.63,1.06,0.11,0.01,1.64,0.53
51,51,ACL,2022,4.23,0.61,2351.0,16432.0,14.31,7.96,0.8,0.24,0.12,1.84,0.43
52,52,ACL,2023,60.46,0.75,196.0,15897.0,1.23,0.56,1.19,0.15,0.02,1.56,0.41
53,53,ACL,2020,23.83,0.97,562.0,13848.0,4.06,1.7,1.39,0.16,0.03,1.37,0.36
54,54,ACL,2021,20.29,1.21,839.0,14083.0,5.96,2.89,1.06,0.13,0.04,1.54,0.41
55,55,ADC,2020,2.78,0.54,3234.0,16620.0,19.46,9.01,1.16,0.35,0.04,1.36,1.02
56,56,ADC,2021,7.32,1.14,2090.0,13456.0,15.53,7.22,1.15,0.38,0.04,1.47,1.0
57,57,ADC,2022,5.35,0.97,2645.0,14560.0,18.17,8.12,1.24,0.36,0.04,1.43,0.84
58,58,ADC,2023,5.59,1.02,2862.0,15692.0,18.24,8.77,1.08,0.33,0.04,1.58,1.08
59,59,ADC,2024,5.54,0.94,3539.0,20939.0,16.9,8.0,1.11,0.34,0.04,1.61,1.26
60,60,ADG,2024,13.65,0.62,828.0,18098.0,4.57,3.57,0.28,0.16,0.06,2.25,2.18
61,61,ADG,2022,9.56,1.44,2458.0,16304.0,15.08,11.95,0.26,0.17,0.11,3.04,3.02
62,62,ADG,2023,22.9,1.33,939.0,16188.0,5.8,4.46,0.3,0.19,0.08,2.62,2.6
63,63,ADG,2020,,,2219.0,13342.0,16.63,8.98,0.85,0.17,0.12,1.64,1.63
64,64,ADG,2021,24.6,3.37,1993.0,14526.0,13.72,8.22,0.67,0.12,0.09,2.09,2.05
65,65,ADP,2020,,,5104.0,17475.0,29.21,23.77,0.23,0.25,0.17,4.14,2.71
66,66,ADP,2021,,,2575.0,14441.0,17.83,14.98,0.19,0.22,0.15,5.12,3.77
67,67,ADP,2022,,,1738.0,11906.0,14.6,11.17,0.31,0.15,0.09,3.66,2.78
68,68,ADP,2023,6.03,1.24,2558.0,12465.0,20.52,15.45,0.33,0.19,0.14,3.6,2.28
69,69,ADP,2024,7.46,2.33,3687.0,11822.0,31.19,23.9,0.3,0.19,0.13,3.83,2.18
70,70,ADS,2023,9.85,0.63,1120.0,17602.0,6.36,2.33,1.73,0.11,0.05,1.32,0.97
71,71,ADS,2020,6.64,0.33,750.0,15043.0,4.99,1.15,3.35,0.05,0.01,1.15,0.79
72,72,ADS,2021,7.78,1.14,2952.0,20229.0,14.59,4.29,2.4,0.12,0.07,1.24,0.8
73,73,ADS,2022,4.01,0.41,1705.0,16622.0,10.26,3.09,2.32,0.08,0.03,1.22,0.9
74,74,ADS,2024,,,0.0,inf,5.31,1.96,1.72,0.08,0.04,1.24,0.9
75,75,AGG,2024,6.87,0.65,2242.0,23641.0,9.48,4.23,1.24,0.31,0.16,1.81,1.57
76,76,AGG,2022,152.96,1.06,159.0,22850.0,0.7,0.17,3.07,0.17,0.03,1.45,0.83
77,77,AGG,2023,15.12,0.92,1402.0,22995.0,6.1,1.89,2.23,0.25,0.13,1.57,1.19
78,78,AGG,2020,3.2,0.57,5031.0,28154.0,17.87,4.25,3.2,0.16,0.24,2.02,0.74
79,79,AGG,2021,5.75,0.9,5068.0,32334.0,15.67,3.34,3.7,0.22,0.27,1.83,0.72
80,80,AGR,2020,16.44,0.76,458.0,9921.0,4.62,4.23,0.09,0.91,0.54,10.13,10.13
81,81,AGR,2021,12.13,1.93,1840.0,11560.0,15.92,14.24,0.12,0.96,0.68,9.58,9.58
82,82,AGR,2022,9.53,0.56,690.0,11774.0,5.86,5.22,0.12,0.66,0.45,8.85,8.85
83,83,AGR,2023,21.51,1.26,679.0,11578.0,5.86,4.78,0.23,0.83,0.5,5.07,5.07
84,84,AGR,2024,25.5,1.41,627.0,11332.0,5.53,3.89,0.42,0.73,0.41,3.16,3.16
85,85,ALT,2024,38.37,0.3,296.0,37823.0,0.78,0.46,0.69,0.12,0.01,1.57,1.22
86,86,ALT,2020,11.26,0.22,713.0,37271.0,1.91,1.4,0.37,0.14,0.03,2.15,1.78
87,87,ALT,2021,18.31,0.45,917.0,37471.0,2.45,1.9,0.29,0.17,0.03,2.65,2.23
88,88,ALT,2022,7.27,0.31,1644.0,38217.0,4.3,3.02,0.42,0.17,0.04,2.22,1.67
89,89,ALT,2023,9.75,0.31,1224.0,38457.0,3.18,2.15,0.48,0.14,0.02,1.76,1.38
90,90,AMC,2024,7.83,0.92,1901.0,16248.0,11.7,6.06,0.93,0.4,0.05,1.51,1.05
91,91,AMC,2023,7.7,0.97,1923.0,15295.0,12.57,8.21,0.53,0.41,0.06,1.71,1.2
92,92,AMC,2021,8.39,1.18,2130.0,15153.0,14.06,8.28,0.7,0.45,0.05,1.33,1.1
93,93,AMC,2020,5.83,0.89,2301.0,15111.0,15.23,7.96,0.91,0.46,0.05,1.13,0.83
94,94,AMC,2022,9.57,1.21,1896.0,14993.0,12.65,8.44,0.5,0.46,0.05,1.68,1.27
95,95,AME,2024,13.35,0.38,352.0,12512.0,2.81,0.71,2.98,0.05,0.01,1.29,0.96
96,96,AME,2020,8.62,0.56,835.0,12950.0,6.45,1.01,5.36,0.07,0.02,1.15,0.73
97,97,AME,2021,17.59,1.07,830.0,13697.0,6.06,0.72,7.41,0.06,0.02,1.25,0.81
98,98,AME,2022,25.47,0.69,428.0,15721.0,2.72,0.97,1.8,0.05,0.01,1.5,0.86
99,99,AME,2023,26.15,0.7,325.0,12065.0,2.69,0.84,2.2,0.05,0.01,1.41,1.02
100,100,AMV,2022,6.88,0.22,480.0,14730.0,3.26,2.73,0.19,0.29,0.17,7.86,6.59
101,101,AMV,2023,37.14,0.3,105.0,12856.0,0.82,0.7,0.17,0.25,0.08,10.21,8.19
102,102,AMV,2020,5.62,0.58,2229.0,21579.0,10.33,9.19,0.12,0.5,0.4,5.41,4.87
103,103,AMV,2021,14.24,0.92,926.0,14290.0,6.48,5.14,0.26,0.5,0.36,6.4,4.44
104,104,AMV,2024,41.67,0.12,36.0,12825.0,0.28,0.24,0.17,0.11,-0.02,6.27,5.96
105,105,ANV,2024,60.47,1.05,317.0,18319.0,1.73,1.0,0.74,0.11,0.02,1.33,0.48
106,106,ANV,2023,50.62,0.7,293.0,21291.0,1.38,0.77,0.8,0.1,0.01,1.4,0.29
107,107,ANV,2020,6.78,0.59,1590.0,18356.0,8.66,4.18,1.07,0.14,0.06,1.19,0.38
108,108,ANV,2021,14.63,0.81,1013.0,18378.0,5.51,2.63,1.09,0.16,0.04,1.25,0.49
109,109,ANV,2022,1.96,0.46,5300.0,22673.0,23.38,12.32,0.9,0.27,0.15,1.35,0.38
110,110,APG,2020,9.19,0.58,742.0,11744.0,6.32,6.08,0.04,0.94,0.8,12.32,12.32
111,111,APG,2021,4.18,1.11,4946.0,18576.0,26.63,22.89,0.16,0.84,0.81,5.95,5.95
112,112,APG,2022,-4.63,0.57,-1350.0,10996.0,-12.28,-11.86,0.04,-1.12,-1.23,23.09,23.09
113,113,APG,2023,14.89,1.18,816.0,10257.0,7.96,7.68,0.04,0.71,0.63,26.01,26.01
114,114,APG,2024,-8.89,0.56,-750.0,11978.0,-6.26,-5.63,0.11,-0.77,-1.11,7.85,7.85
115,115,APH,2023,54.86,0.33,140.0,23139.0,0.61,0.28,1.16,0.1,0.02,1.39,1.17
116,116,APH,2022,-67.79,0.21,-104.0,33408.0,-0.31,-0.16,1.01,0.09,0.01,1.69,1.18
117,117,APH,2024,,,0.0,inf,2.1,0.93,1.27,0.13,0.03,1.61,1.27
118,118,APH,2020,89.02,1.57,509.0,28912.0,1.76,0.74,1.38,0.11,0.03,1.16,0.9
119,119,APH,2021,323.04,3.2,92.0,9291.0,0.99,0.48,1.07,0.11,0.02,1.6,1.28
120,120,API,2020,5.23,0.5,1452.0,15168.0,9.57,1.75,4.47,0.32,0.13,1.2,0.43
121,121,API,2021,7.31,1.74,5669.0,23779.0,23.84,7.07,2.37,0.35,0.23,1.15,0.37
122,122,API,2022,5.97,0.73,1441.0,11720.0,12.3,4.78,1.57,0.27,0.19,1.65,0.8
123,123,API,2023,-8.58,0.51,-664.0,11075.0,-6.0,-2.44,1.45,0.29,-0.21,1.39,0.68
124,124,API,2024,-33.62,0.72,-232.0,10837.0,-2.14,-0.9,1.38,0.36,-0.08,1.6,0.8
125,125,APS,2020,2.97,0.42,1450.0,10255.0,14.14,13.77,0.03,0.46,0.38,36.7,36.7
126,126,APS,2021,3.6,1.44,10921.0,27375.0,39.89,34.89,0.14,0.96,0.94,13.02,13.02
127,127,APS,2022,-1.57,0.73,-5410.0,11580.0,-46.72,-46.06,0.01,-1.29,-1.33,99.37,99.37
128,128,APS,2023,-3.09,0.71,-2168.0,9414.0,-23.03,-22.41,0.03,0.03,-0.42,43.43,43.43
129,129,APS,2024,,,0.0,inf,2.72,2.68,0.01,0.05,0.09,100.13,100.13
130,130,ARM,2024,16.36,2.02,1534.0,12401.0,12.37,2.79,3.44,0.11,0.02,1.42,1.24
131,131,ARM,2023,23.29,2.43,1256.0,12024.0,10.45,2.2,3.75,0.16,0.03,1.21,1.12
132,132,ARM,2022,62.2,4.14,763.0,11477.0,6.65,1.99,2.35,0.15,0.02,1.31,1.19
133,133,ARM,2021,74.9,3.98,621.0,11699.0,5.31,1.61,2.3,0.12,0.01,1.33,1.16
134,134,ARM,2020,70.02,3.34,657.0,13790.0,4.76,0.9,4.32,0.15,0.01,1.17,1.05
135,135,ASG,2020,,,1361.0,22035.0,6.18,4.09,0.51,0.26,0.11,3.2,3.17
136,136,ASG,2021,33.82,1.47,793.0,18242.0,4.35,2.8,0.55,0.25,0.08,1.51,1.48
137,137,ASG,2022,19.69,0.97,1191.0,24112.0,4.94,2.97,0.66,0.18,0.1,2.9,2.84
138,138,ASG,2023,367.93,0.8,53.0,24315.0,0.22,0.13,0.65,0.13,0.03,2.6,2.55
139,139,ASG,2024,57.37,0.79,319.0,23153.0,1.38,0.86,0.61,0.16,0.04,1.8,1.77
140,140,ASM,2023,14.82,0.37,580.0,23274.0,2.49,0.96,1.59,0.11,0.03,1.35,0.8
141,141,ASM,2022,3.38,0.27,1883.0,23492.0,8.02,3.29,1.43,0.14,0.08,1.22,0.8
142,142,ASM,2024,14.95,0.34,523.0,23135.0,2.26,0.8,1.83,0.11,0.03,1.74,1.19
143,143,ASM,2020,5.23,0.36,1837.0,26551.0,6.92,2.7,1.56,0.11,0.05,1.27,0.81
144,144,ASM,2021,5.6,0.44,2319.0,29261.0,7.93,3.3,1.4,0.11,0.05,1.42,0.98
145,145,ASP,2020,6.38,0.42,880.0,13382.0,6.58,1.86,2.54,0.16,0.01,0.56,0.49
146,146,ASP,2021,18.7,0.97,680.0,13172.0,5.16,1.25,3.13,0.13,0.0,0.75,0.7
147,147,ASP,2022,125.85,0.39,41.0,13278.0,0.31,0.07,3.29,0.09,-0.01,0.8,0.74
148,148,ASP,2023,-2.15,0.46,-2234.0,10454.0,-21.37,-3.67,4.82,0.11,-0.03,0.79,0.73
149,149,ASP,2024,29.55,0.49,134.0,8072.0,1.66,0.32,4.25,0.1,-0.0,0.66,0.6
150,150,AST,2020,-48.2,4.37,-1072.0,11816.0,-9.07,-7.84,0.16,0.42,-0.15,4.34,3.77
151,151,AST,2021,-18.3,5.24,-2598.0,9077.0,-28.62,-23.49,0.22,0.28,-0.8,3.22,2.9
152,152,AST,2022,103.66,5.27,495.0,9740.0,5.08,4.0,0.27,0.53,0.06,3.03,2.57
153,153,AST,2023,18.38,3.62,2473.0,12575.0,19.67,15.18,0.3,0.58,0.15,3.04,2.45
154,154,AST,2024,16.18,3.89,3179.0,13225.0,24.04,17.42,0.38,0.61,0.19,2.58,2.21
155,155,ATS,2023,300.0,1.59,66.0,12422.0,0.53,0.46,0.16,0.05,0.01,1.83,1.82
156,156,ATS,2022,55.84,1.04,231.0,12349.0,1.87,1.68,0.12,0.1,0.07,2.5,2.5
157,157,ATS,2024,263.16,1.2,57.0,12520.0,0.46,0.41,0.11,0.05,0.02,3.23,3.22
158,158,ATS,2020,946.15,3.07,39.0,12001.0,0.32,0.25,0.28,0.1,0.01,1.51,1.5
159,159,ATS,2021,47.49,2.5,638.0,12125.0,5.26,3.78,0.39,0.11,0.1,1.4,1.4
160,160,BAB,2020,,,830.0,11810.0,7.03,0.5,13.01,,,,
161,161,BAB,2021,18.88,1.52,964.0,12013.0,8.02,0.61,12.23,,,,
162,162,BAB,2022,11.21,0.95,1024.0,12055.0,8.49,0.65,12.14,,,,
163,163,BAB,2023,10.72,0.84,1031.0,13115.0,7.86,0.56,13.01,,,,
164,164,BAB,2024,,,0.0,inf,8.58,0.61,13.05,,,,
165,165,BAF,2023,99.17,1.4,184.0,13055.0,1.41,0.41,2.42,0.07,0.01,1.05,0.52
166,166,BAF,2022,5.0,0.82,2592.0,15756.0,16.45,6.06,1.71,0.07,0.05,1.16,0.78
167,167,BAF,2024,20.74,2.28,1355.0,12349.0,10.97,4.32,1.54,0.13,0.05,1.12,0.35
168,168,BAF,2020,,,2251.0,27782.0,8.1,0.87,8.28,0.02,0.0,1.01,0.8
169,169,BAF,2021,5.42,1.2,2909.0,13154.0,22.11,5.9,2.75,0.05,0.04,1.12,0.84
170,170,BAX,2020,3.17,1.65,16993.0,32633.0,52.07,16.76,2.11,0.57,0.57,2.84,2.59
171,171,BAX,2021,8.26,2.2,6777.0,25432.0,26.65,7.28,2.66,0.41,0.36,2.65,2.15
172,172,BAX,2022,8.49,2.24,7301.0,27674.0,26.38,8.42,2.13,0.38,0.33,7.78,7.38
173,173,BAX,2023,12.58,1.72,3015.0,22079.0,13.66,3.97,2.44,0.48,0.49,6.0,5.69
174,174,BAX,2024,12.55,1.58,3183.0,25201.0,12.63,3.67,2.44,0.57,0.46,5.1,4.12
175,175,BBC,2020,,,5952.0,67501.0,8.82,6.26,0.41,0.27,0.02,1.67,1.37
176,176,BBC,2021,42.27,0.96,1380.0,60464.0,2.28,1.37,0.67,0.29,0.02,1.11,0.95
177,177,BBC,2022,5.15,0.73,9797.0,69234.0,14.15,10.43,0.36,0.3,0.05,1.47,1.23
178,178,BBC,2023,9.98,0.68,4872.0,71555.0,6.81,4.13,0.65,0.33,0.07,1.38,1.24
179,179,BBC,2024,8.7,0.68,6170.0,79043.0,7.81,5.29,0.48,0.35,0.07,1.7,1.52
180,180,BBS,2023,10.02,0.53,943.0,17867.0,5.28,1.89,1.79,0.1,0.02,1.13,0.86
181,181,BBS,2022,6.23,0.45,1302.0,18172.0,7.16,2.27,2.15,0.09,0.02,1.0,0.75
182,182,BBS,2024,9.26,0.53,1031.0,17971.0,5.74,2.12,1.7,0.1,0.03,1.21,0.97
183,183,BBS,2020,6.62,0.42,1123.0,17757.0,6.32,1.75,2.62,0.11,0.02,0.93,0.74
184,184,BBS,2021,5.28,0.49,1701.0,18418.0,9.24,2.59,2.57,0.08,0.02,1.0,0.81
185,185,BCC,2020,7.16,0.51,1231.0,17164.0,7.17,3.68,0.95,0.13,0.04,0.27,0.1
186,186,BCC,2021,30.65,1.22,685.0,17205.0,3.98,2.18,0.83,0.11,0.03,0.32,0.13
187,187,BCC,2022,13.98,0.46,563.0,17238.0,3.27,1.69,0.93,0.1,0.02,0.42,0.11
188,188,BCC,2023,-4.98,0.64,-1846.0,14484.0,-12.74,-6.22,1.05,0.04,-0.07,0.34,0.15
189,189,BCC,2024,-146.0,0.51,-50.0,14279.0,-0.35,-0.18,0.92,0.09,-0.01,0.42,0.14
190,190,BCE,2020,13.62,1.26,915.0,9894.0,9.25,3.53,1.62,0.14,0.09,1.4,1.17
191,191,BCE,2021,31.03,1.75,593.0,10524.0,5.63,2.74,1.06,0.33,0.17,1.64,1.47
192,192,BCE,2022,-3.37,0.59,-1668.0,9501.0,-17.56,-9.01,0.95,-0.19,-0.49,1.56,1.45
193,193,BCE,2023,265.0,0.62,22.0,9415.0,0.23,0.11,1.06,0.31,0.03,1.47,1.37
194,194,BCE,2024,7.83,1.05,1086.0,8074.0,13.45,7.29,0.84,0.35,0.23,1.8,1.61
195,195,BCF,2024,11.23,3.01,3152.0,11776.0,26.77,16.43,0.63,0.26,0.17,1.63,1.18
196,196,BCF,2023,11.95,2.15,1992.0,11094.0,17.96,13.19,0.36,0.23,0.13,2.72,1.9
197,197,BCF,2022,6.13,1.95,3887.0,12183.0,31.9,23.93,0.33,0.28,0.17,3.18,2.25
198,198,BCF,2020,3.91,1.32,4830.0,14270.0,33.85,23.61,0.43,0.29,0.2,2.66,1.92
199,199,BCF,2021,10.08,1.79,2126.0,11963.0,17.77,13.23,0.34,0.24,0.12,3.12,2.21
200,200,BCG,2020,4.22,0.3,1803.0,25282.0,7.13,0.88,7.15,0.23,0.18,1.07,0.85
201,201,BCG,2021,7.49,0.55,2678.0,36720.0,7.29,1.62,3.51,0.36,0.49,1.59,1.31
202,202,BCG,2022,8.02,0.2,715.0,28226.0,2.53,0.8,2.18,0.29,0.17,1.56,1.32
203,203,BCG,2023,72.24,0.24,111.0,32872.0,0.34,0.14,1.4,0.3,0.05,1.61,1.3
204,204,BCG,2024,,,0.0,inf,1.89,0.87,1.17,0.26,0.2,1.68,1.42
205,205,BCM,2020,22.54,2.6,1731.0,14984.0,11.55,4.1,1.82,0.5,0.38,1.39,0.26
206,206,BCM,2021,50.08,4.24,1232.0,14557.0,8.46,2.96,1.86,0.46,0.32,1.58,0.44
207,207,BCM,2022,52.85,4.96,1482.0,15783.0,9.39,3.49,1.69,0.42,0.27,1.49,0.37
208,208,BCM,2023,28.33,3.53,2187.0,17575.0,12.44,4.54,1.74,0.54,0.36,1.24,0.37
209,209,BCM,2024,36.87,3.79,1923.0,18703.0,10.28,3.58,1.87,0.65,0.48,1.48,0.5
210,210,BED,2024,12.91,2.22,2373.0,13788.0,17.21,13.81,0.25,0.27,0.1,3.48,2.0
211,211,BED,2023,4.76,0.9,2602.0,13816.0,18.83,15.1,0.25,0.29,0.12,3.26,1.86
212,212,BED,2021,21.12,2.88,1747.0,12814.0,13.63,10.84,0.26,0.25,0.09,2.75,1.28
213,213,BED,2022,24.85,2.71,1346.0,12364.0,10.89,8.63,0.26,0.27,0.12,2.85,1.34
214,214,BED,2020,10.21,1.82,2385.0,13360.0,17.85,14.35,0.24,0.27,0.11,2.79,1.63
215,215,BFC,2020,5.7,0.63,2097.0,19009.0,11.03,4.36,1.53,0.14,0.04,1.27,0.59
216,216,BFC,2021,6.85,1.1,3457.0,21445.0,16.12,5.7,1.83,0.12,0.05,1.25,0.21
217,217,BFC,2022,5.84,0.61,2221.0,21274.0,10.44,3.29,2.17,0.1,0.03,1.2,0.4
218,218,BFC,2023,9.37,1.08,2334.0,20244.0,11.53,4.29,1.69,0.11,0.02,1.27,0.57
219,219,BFC,2024,6.75,1.59,5640.0,23926.0,23.57,10.93,1.16,0.15,0.06,1.5,0.66
220,220,BHN,2023,26.15,1.66,1426.0,22517.0,6.33,4.7,0.35,0.25,0.06,2.98,2.56
221,221,BHN,2022,21.99,1.92,1895.0,21719.0,8.73,6.4,0.36,0.28,0.07,2.67,2.27
222,222,BHN,2024,22.36,1.62,1649.0,22767.0,7.24,5.27,0.38,0.27,0.06,2.88,2.49
223,223,BHN,2020,23.21,2.66,2793.0,24407.0,11.44,8.54,0.34,0.27,0.07,2.58,2.24
224,224,BHN,2021,40.58,2.56,1299.0,20629.0,6.3,4.3,0.47,0.24,0.06,2.06,1.8
225,225,BIC,2020,4.86,0.59,2214.0,18189.0,12.17,5.06,1.4,0.27,0.05,1.42,1.42
226,226,BIC,2021,5.27,0.81,2764.0,18004.0,15.35,6.54,1.35,0.3,0.08,1.5,1.5
227,227,BIC,2022,7.55,0.91,1814.0,15131.0,11.99,4.68,1.56,0.22,0.01,1.45,1.45
228,228,BIC,2023,4.33,0.7,3133.0,19392.0,16.16,5.96,1.71,0.24,0.05,1.44,1.44
229,229,BIC,2024,6.09,1.02,3131.0,18762.0,16.69,5.71,1.92,0.28,0.07,1.32,1.32
230,230,BID,2020,19.0,1.67,1447.0,16472.0,8.78,0.46,18.04,,,,
231,231,BID,2021,15.56,1.9,1729.0,14161.0,12.21,0.6,19.41,,,,
232,232,BID,2022,8.96,1.56,3125.0,17931.0,17.43,0.86,19.35,,,,
233,233,BID,2023,10.7,1.87,3314.0,18934.0,17.5,0.93,17.73,,,,
234,234,BID,2024,,,0.0,inf,17.06,0.89,18.1,,,,
235,235,BKC,2024,1.56,0.35,4593.0,20189.0,22.75,12.58,0.81,0.17,0.11,1.77,1.23
236,236,BKC,2023,7.89,0.22,437.0,15597.0,2.8,1.39,1.01,0.07,0.01,1.72,0.78
237,237,BKC,2022,13.04,0.22,253.0,15165.0,1.67,0.77,1.16,0.08,-0.01,1.33,0.47
238,238,BKC,2021,10.75,0.36,386.0,11627.0,3.32,1.07,2.1,0.08,0.0,1.16,0.75
239,239,BKC,2020,1.25,-0.22,1962.0,-11237.0,-17.46,-5.93,1.95,0.01,-0.11,1.08,0.52
240,240,BKG,2020,18.37,0.97,622.0,11797.0,5.27,4.42,0.19,0.09,0.06,4.87,3.63
241,241,BKG,2021,15.57,0.9,723.0,12529.0,5.77,4.99,0.16,0.11,0.08,5.57,4.22
242,242,BKG,2022,7.34,0.22,471.0,15829.0,2.98,2.81,0.06,0.11,0.08,15.31,13.47
243,243,BKG,2023,26.79,0.32,155.0,12968.0,1.2,1.15,0.04,0.13,0.08,20.97,17.87
244,244,BKG,2024,15.4,0.31,213.0,10750.0,1.98,1.87,0.06,0.1,0.07,9.89,7.12
245,245,BMC,2023,6.66,0.71,1953.0,18427.0,10.6,9.65,0.1,0.27,0.17,8.96,5.53
246,246,BMC,2022,5.86,0.57,1722.0,17561.0,9.81,8.93,0.1,0.24,0.14,8.85,6.07
247,247,BMC,2024,10.68,1.15,1855.0,17197.0,10.79,9.94,0.09,0.28,0.16,10.42,5.62
248,248,BMC,2020,9.0,0.66,1202.0,16320.0,7.37,6.52,0.13,0.24,0.09,6.55,3.26
